--=====================================================================================================
-- (c) copyright 2026 - 2030, Honor.Game
-- All Rights Reserved.
-- ----------------------------------------------------------------------------------------------------
-- filename:  TableAIName
-- descrip:   AI名称表
-- notices:   该文件自动生成，请不要手动修改！
--=====================================================================================================

---@class Tables.AIName_Item @AI名称表条目
---@field ID number @ID
---@field Name string @玩家昵称
---@field ChineseSimplified string @简体中文
---@field English string @英语
---@field French string @法语
---@field German string @德语
---@field Spanish string @西班牙语
---@field Japanese string @日语
---@field Korean string @韩语
---@field PortuguesePortugal string @葡萄牙语
---@field Russian string @俄语
---@field ChineseTraditional string @繁体中文
---@field Italian string @意大利语

---@class Tables.AIName @AI名称表
Tables.AIName = {
    [1] = {ID = 1, Name = "Charon", ChineseSimplified = "胡宛妤", English = "Charon", French = "Gourmandise", German = "Kochkünstler", Spanish = "ChefEstrella", Japanese = "料理達人", Korean = "요리사", PortuguesePortugal = "ChefEstrela", Russian = "ШефПовар", ChineseTraditional = "廚神", Italian = "ChefStella"},
    [2] = {ID = 2, Name = "シメオン", ChineseSimplified = "傅令宜", English = "Simeon", French = "Épicurien", German = "Geschmack", Spanish = "Saborista", Japanese = "味覚王", Korean = "맛의신", PortuguesePortugal = "Saboroso", Russian = "Вкусно", ChineseTraditional = "美味達人", Italian = "Gusto"},
    [3] = {ID = 3, Name = "Simeon", ChineseSimplified = "邢怡君", English = "YgorOfOT", French = "ChefMagique", German = "Backmeister", Spanish = "Panadero", Japanese = "パン職人", Korean = "빵굽는사람", PortuguesePortugal = "Padeiro", Russian = "Пекарь", ChineseTraditional = "烘焙師", Italian = "Panettiere"},
    [4] = {ID = 4, Name = "YgorOfOT", ChineseSimplified = "白豪霈", English = "MDetective", French = "Boulangère", German = "Würzmeister", Spanish = "Repostero", Japanese = "スイーツ姫", Korean = "달콤한요리", PortuguesePortugal = "Confeiteiro", Russian = "Сладкий", ChineseTraditional = "甜點王", Italian = "Dolci"},
    [5] = {ID = 5, Name = "MDetective", ChineseSimplified = "范淑芬", English = "UnlRichard", French = "CuisinierÉtoilé", German = "Küchenchef", Spanish = "CocineroMágico", Japanese = "魔法のシェフ", Korean = "마법의요리사", PortuguesePortugal = "Sibarita", Russian = "Гурман", ChineseTraditional = "魔法廚子", Italian = "Cucinare"},
    [6] = {ID = 6, Name = "UnlRichard", ChineseSimplified = "姜詩涵", English = "HenryBower", French = "Pâtissier", German = "Süßspeise", Spanish = "Horneado", Japanese = "炎の料理人", Korean = "구이달인", PortuguesePortugal = "MestreChurrasco", Russian = "Магия", ChineseTraditional = "燒烤英雄", Italian = "Grigliata"},
    [7] = {ID = 7, Name = "HenryBower", ChineseSimplified = "程曉彤", English = "Iosef", French = "Sommelier", German = "Feinschmecker", Spanish = "GourmetGalante", Japanese = "旨味探求者", Korean = "미식가", PortuguesePortugal = "GourmetElegante", Russian = "Повар", ChineseTraditional = "食神", Italian = "Gourmet"},
    [8] = {ID = 8, Name = "Iosef", ChineseSimplified = "許婷婷", English = "Vezenkof", French = "Fromager", German = "Grillmeister", Spanish = "Pastelero", Japanese = "天才パティシエ", Korean = "케이크장인", PortuguesePortugal = "Pastelero", Russian = "Гриль", ChineseTraditional = "蛋糕藝術家", Italian = "Pasticcere"},
    [9] = {ID = 9, Name = "LuckyGuy7", ChineseSimplified = "沈宜庭", English = "Kamil", French = "Chocolatier", German = "Pfannenheld", Spanish = "SommelierSol", Japanese = "野菜の魔術師", Korean = "와인전문가", PortuguesePortugal = "SommelierSol", Russian = "Вино", ChineseTraditional = "酒神", Italian = "Vino"},
    [10] = {ID = 10, Name = "Vezenkof", ChineseSimplified = "薛令宜", English = "XanderGal", French = "Marmiton", German = "Saucenzauberer", Spanish = "Quesero", Japanese = "肉の彫刻家", Korean = "치즈의달인", PortuguesePortugal = "Queijeiro", Russian = "Сыр", ChineseTraditional = "奶酪大師", Italian = "Formaggio"},
    [11] = {ID = 11, Name = "Kamil", ChineseSimplified = "王永恩", English = "BestCooker", French = "Bistrotier", German = "Teigwaren", Spanish = "Dulcero", Japanese = "魚の詩人", Korean = "사탕제조자", PortuguesePortugal = "Doceiro", Russian = "Охотник", ChineseTraditional = "糖果工匠", Italian = "Cacciatore"},
